,dV0,absolute_E,absolute_N,angle_E,angle_N
dV0,1.0,-0.8131735410846109,-0.2054130508265853,-0.2203706126227014,0.6346838523857309
absolute_E,-0.8131735410846109,1.0,0.21941206225141643,0.22203102921368975,-0.7686590926749868
absolute_N,-0.2054130508265853,0.21941206225141643,1.0,0.9943189895587317,0.43208006723410686
angle_E,-0.2203706126227014,0.22203102921368975,0.9943189895587317,1.0,0.44229233580142335
angle_N,0.6346838523857309,-0.7686590926749868,0.43208006723410686,0.44229233580142335,1.0
