,dV0,absolute_E,absolute_N,angle_E,angle_N
dV0,1.0,-0.9823364055020771,-0.29256996658531775,-0.5115433098106672,0.012055533645482421
absolute_E,-0.9823364055020771,1.0,0.36650637839420075,0.577764297583014,0.060081800197459075
absolute_N,-0.29256996658531775,0.36650637839420075,1.0,0.9647529755057028,0.9500242703704125
angle_E,-0.5115433098106672,0.577764297583014,0.9647529755057028,1.0,0.8460774383770304
angle_N,0.012055533645482421,0.060081800197459075,0.9500242703704125,0.8460774383770304,1.0
