# cfgfile = demo_res/IMAG//lambda/IMAG.2007.kaiyo_k4_L-01.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M01,1.490753,2.8992927129550263e-05,26.565340968665794,-2.619851586981784e-05,False,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,-0.01017,1000.00995,-0.04136,0.0,0.0,0.0,-0.06316124876660484,-0.022424489117019376,0.01637306178210741,0.008378454912575882,0.0151114227869346,-0.03929777380472676,1.9448511678024638e-05
1,S01,L01,M02,1.982369,9.990654275455594e-06,47.731970654424714,-2.851353004334034e-05,False,4.667094,0.0,980.0,0.0,0.0,0.0,0.0,4.667094,-0.01138,980.00884,-0.04675,0.0,0.0,0.0,-0.06288200939126959,-0.022402206922723007,0.016327887410036115,0.008351514848931723,0.015103433735537204,-0.04277029506501051,5.03975509880128e-06
2,S01,L01,M03,2.359569,-5.86061723873887e-06,55.59231306967813,-3.638965491987938e-05,False,9.334187,0.0,960.0,0.0,0.0,0.0,0.0,9.334187,-0.00941,960.01221,-0.05032,0.0,0.0,0.0,-0.06260275161124648,-0.022379924624287437,0.01628271272325299,0.00832457400531665,0.015095447135791387,-0.054584482379819076,-2.483765992322695e-06
3,S01,L01,M04,1.956245,1.8968980564172454e-05,47.03180618396769,-3.4074740772067804e-05,False,14.001281,0.0,950.0,0.0,0.0,0.0,0.0,14.001281,-0.00986,950.00893,-0.04459,0.0,0.0,0.0,-0.0623234740637425,-0.022357642218467814,0.016237537960669252,0.008297632489147088,0.015087462453548129,-0.05111211115810171,9.696628266997465e-06
4,S01,L01,M01,1.45141,2.222196499499816e-05,23.26787671816956,-2.6340687476866032e-05,False,18.668374,0.0,930.0,0.0,0.0,0.0,0.0,18.668374,-0.00716,930.00899,-0.03745,0.0,0.0,0.0,-0.06204417562531554,-0.02233535972111677,0.01619236339991376,0.008270690430929786,0.015079479161502792,-0.039511031215299044,1.5310604856655363e-05
5,S01,L01,M02,1.922112,-1.767555797480466e-05,46.07764796287003,-2.86763470204964e-05,False,23.335468,0.0,910.0,0.0,0.0,0.0,0.0,23.335468,-0.011,910.01487,-0.02553,0.0,0.0,0.0,-0.061764854933155144,-0.02231307712898937,0.016147189279897806,0.008243747938080638,0.015071496725507774,-0.043014520530744595,-9.19590428383188e-06
6,S01,L01,M03,2.293994,-2.9918821453110595e-05,54.46283059523492,-3.639399574084701e-05,False,28.002562,0.0,900.0,0.0,0.0,0.0,0.0,28.002562,-0.01105,900.01308,-0.02839,0.0,0.0,0.0,-0.061485510803981104,-0.02229079445316387,0.016102015868570917,0.008216805135333854,0.015063514616547173,-0.05459099361127052,-1.3042240499805402e-05
7,S01,L01,M04,1.897117,-1.6998372744530017e-05,45.34550144831695,-3.4157765411938595e-05,False,32.669655,0.0,880.0,0.0,0.0,0.0,0.0,32.669655,-0.00992,880.01353,-0.02352,0.0,0.0,0.0,-0.0612061420545332,-0.02226851170471858,0.016056843433881998,0.008189862147423886,0.015055532305604795,-0.051236648117907894,-8.96010775536249e-06
8,S01,L01,M01,1.417125,5.364504592285454e-06,19.799014234645597,-2.646571340524692e-05,False,37.336749,0.0,860.0,0.0,0.0,0.0,0.0,37.336749,-0.00544,860.01274,-0.02966,0.0,0.0,0.0,-0.06092674732197094,-0.0222462288804085,0.016011672214743276,0.00816291908176626,0.01504754925853348,-0.03969857010787038,3.7854844084223016e-06
9,S01,L01,M02,1.872638,-1.0663891941114228e-05,44.60133189816071,-2.8715705501967744e-05,False,42.003843,0.0,850.0,0.0,0.0,0.0,0.0,42.003843,-0.00459,850.00974,-0.03218,0.0,0.0,0.0,-0.06064732542302871,-0.022223945991311913,0.015966502479103892,0.008135976063095402,0.01503956494631692,-0.043073558252951616,-5.694582690896066e-06
10,S01,L01,M03,2.218691,-4.721285276776343e-05,53.06154948133549,-3.6489828829292155e-05,False,46.670936,0.0,830.0,0.0,0.0,0.0,0.0,46.670936,-0.00572,830.00886,-0.01666,0.0,0.0,0.0,-0.060367875174464194,-0.022201663048507184,0.015921334494911725,0.008109033216145707,0.015031578839939922,-0.05473474324393823,-2.127959809083979e-05
11,S01,L01,M04,1.840856,-8.231646488278797e-06,43.58836785769745,-3.422371714209047e-05,False,51.33803,0.0,810.0,0.0,0.0,0.0,0.0,51.33803,-0.00604,810.00872,-0.02801,0.0,0.0,0.0,-0.06008839521340196,-0.022179380048749208,0.0158761685010809,0.008082090648332749,0.015023590405253681,-0.051335575713135705,-4.471640632552898e-06
12,S01,L01,M01,1.392067,1.179932500262872e-05,16.699298801487856,-2.6468067250041115e-05,False,56.005123,0.0,800.0,0.0,0.0,0.0,0.0,56.005123,-0.00449,800.01017,-0.03295,0.0,0.0,0.0,-0.059808884416486546,-0.022157097007890827,0.01583100477523648,0.00805514849016371,0.015015599114955158,-0.03970210087506167,8.47611860824854e-06
