,ABIC,log(Lambda),dE,dN,dU
0,1910.7608783104772,-1.0,-0.01978650431379831,-0.012789723421138223,-0.00404374774799027
1,1945.058863650896,-2.0,-0.01994328582474844,-0.013372872480116961,-0.00429648052294259
