# cfgfile = demo_res/IMAG//lambda/IMAG.2002.kaiyo_k4_L-02.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M01,1.490722,1.983713026508901e-06,26.565549356224892,-8.496014741031884e-06,False,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.01702,1000.00599,-0.03115,0.0,0.0,0.0,-0.02865391290174212,-0.011709232019747025,0.010112009881892568,0.0041938111658882515,0.011653096256626805,-0.012744022111547827,1.3307062124989777e-06
1,S01,L01,M02,1.982328,-7.0467218616389655e-06,47.731499088381895,-1.1053908796657936e-05,False,4.667094,0.0,980.0,0.0,0.0,0.0,0.0,4.667094,0.01881,980.00608,-0.0365,0.0,0.0,0.0,-0.02856063599904495,-0.011685263692581622,0.010121980308338082,0.004177551587125177,0.01164425222498815,-0.016580863194986903,-3.554770886371461e-06
2,S01,L01,M03,2.359522,-2.7171805208385575e-05,55.59212724185835,-1.6391154895811187e-05,False,9.334187,0.0,960.0,0.0,0.0,0.0,0.0,9.334187,0.01741,960.00807,-0.02703,0.0,0.0,0.0,-0.028467350331961846,-0.011661295379481868,0.010131950982507706,0.004161291923985841,0.01163540835500139,-0.02458673234371678,-1.1515809222539808e-05
3,S01,L01,M04,1.956191,-3.7088150314909054e-05,47.032037078407626,-1.3893293263038384e-05,False,14.001281,0.0,950.0,0.0,0.0,0.0,0.0,14.001281,0.02076,950.01183,-0.01398,0.0,0.0,0.0,-0.028374056277512206,-0.011637327069430601,0.010141921925197087,0.004145032177145252,0.011626564615662574,-0.020839939894557576,-1.8959370692794852e-05
4,S01,L01,M01,1.451369,-2.2527960105706814e-05,23.2681701142711,-8.705743126222976e-06,False,18.668374,0.0,930.0,0.0,0.0,0.0,0.0,18.668374,0.01866,930.01036,-0.01762,0.0,0.0,0.0,-0.02828075429267082,-0.011613358771953063,0.010151893148656258,0.0041287723612140415,0.011617720983547505,-0.013058614689334464,-1.552186942514744e-05
5,S01,L01,M02,1.922077,-2.6456248776247516e-05,46.077209250103294,-1.1274490089524887e-05,False,23.335468,0.0,910.0,0.0,0.0,0.0,0.0,23.335468,0.01781,910.01027,-0.02071,0.0,0.0,0.0,-0.02818744475445011,-0.011589390476032094,0.01016186467368109,0.004112512476867152,0.011608877427652334,-0.016911735134287332,-1.3764406304350718e-05
6,S01,L01,M03,2.293971,-2.1605472614873138e-05,54.46300415506256,-1.65114190786156e-05,False,28.002562,0.0,900.0,0.0,0.0,0.0,0.0,28.002562,0.01404,900.01233,-0.02881,0.0,0.0,0.0,-0.028094128099836142,-0.011565422186057332,0.010171836514658023,0.004096252535231315,0.011600033922657908,-0.0247671286179234,-9.418372165503897e-06
7,S01,L01,M04,1.897107,-1.0982925085854163e-05,45.346208319056245,-1.4072202992391508e-05,False,32.669655,0.0,880.0,0.0,0.0,0.0,0.0,32.669655,0.01623,880.01155,-0.02841,0.0,0.0,0.0,-0.028000804765821077,-0.01154145390641841,0.01018180868597322,0.0040799925474333,0.011591190443245023,-0.021108304488587262,-5.789301861125473e-06
8,S01,L01,M01,1.417111,3.276747438672208e-06,19.7996570570769,-8.919090330420754e-06,False,37.336749,0.0,860.0,0.0,0.0,0.0,0.0,37.336749,0.01581,860.0155,-0.03566,0.0,0.0,0.0,-0.02790747512940822,-0.011517485626098193,0.010191781208422974,0.004063732514147987,0.011582346958409918,-0.013378635495631131,2.312272954392569e-06
9,S01,L01,M02,1.872627,1.0983015440796604e-05,44.601368785192165,-1.143071244938326e-05,False,42.003843,0.0,850.0,0.0,0.0,0.0,0.0,42.003843,0.01828,850.01355,-0.05235,0.0,0.0,0.0,-0.027814139627588334,-0.011493517349486306,0.010201754096393519,0.004047472446502136,0.01157350344283339,-0.01714606867407489,5.865031018348343e-06
