# cfgfile = demo_res/IMAG//lambda/IMAG.2011.kaiyo_k4_L-02.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M01,1.490759,8.261958929470895e-06,26.566280635858988,-3.776418429819666e-05,False,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,-0.00063,999.99873,-0.05163,0.0,0.0,0.0,-0.049028274365574616,-0.034696535181634056,-0.002199259045896206,0.010242228451083003,-0.010438166917468015,-0.05664627644729499,5.542115747395049e-06
1,S01,L01,M02,1.982356,-2.9188087983814782e-05,47.73236074365303,-3.0783446947275766e-05,False,4.667094,0.0,980.0,0.0,0.0,0.0,0.0,4.667094,8e-05,980.00037,-0.04646,0.0,0.0,0.0,-0.04892843980640604,-0.034659635191256845,-0.0022087536203216087,0.01023461167467419,-0.010437944320392007,-0.046175170420913646,-1.4723938578042883e-05
2,S01,L01,M03,2.359559,-2.7267805015598542e-05,55.59263988808851,-3.062569911846558e-05,False,9.334187,0.0,960.0,0.0,0.0,0.0,0.0,9.334187,-0.0007,960.00418,-0.05238,0.0,0.0,0.0,-0.04882860796615116,-0.03462273524302446,-0.002218248820301895,0.010226994741715841,-0.010437721547080605,-0.045938548677698365,-1.1556314131411227e-05
3,S01,L01,M04,1.956247,-4.6036397016403774e-06,47.03229162281755,-3.7436000492212965e-05,False,14.001281,0.0,950.0,0.0,0.0,0.0,0.0,14.001281,-0.00098,950.00301,-0.04996,0.0,0.0,0.0,-0.04872877725813102,-0.03458583531795147,-0.0022277444918659428,0.010219377678132135,-0.010437498639802643,-0.05615400073831945,-2.353301858937229e-06
4,S01,L01,M01,1.451419,6.569925350077027e-06,23.269024240078124,-3.741810827839453e-05,False,18.668374,0.0,930.0,0.0,0.0,0.0,0.0,18.668374,-0.00295,930.00374,-0.04946,0.0,0.0,0.0,-0.04862894618122903,-0.03454893542867814,-0.0022372404729044826,0.01021176051637553,-0.010437275641017967,-0.056127162417591796,4.526553221417817e-06
5,S01,L01,M02,1.922103,-4.827517324690252e-05,46.078107985753434,-3.0446905293753213e-05,False,23.335468,0.0,910.0,0.0,0.0,0.0,0.0,23.335468,0.00029,910.00473,-0.02987,0.0,0.0,0.0,-0.04852911314876654,-0.034512035556219046,-0.0022467366094467266,0.0102041432823701,-0.010437052592995325,-0.04567035794062982,-2.511580973907357e-05
6,S01,L01,M03,2.293989,-4.2241316499468877e-05,54.463264498760054,-3.029338962439951e-05,False,28.002562,0.0,900.0,0.0,0.0,0.0,0.0,28.002562,-6e-05,900.00386,-0.03761,0.0,0.0,0.0,-0.04842927663823588,-0.03447513570530802,-0.0022562327414178914,0.010196526006936251,-0.010436829538146827,-0.04544008443659926,-1.8413914146697685e-05
7,S01,L01,M04,1.897131,-2.073551115773678e-05,45.34615553250086,-3.7077522323312075e-05,False,32.669655,0.0,880.0,0.0,0.0,0.0,0.0,32.669655,0.00216,880.00445,-0.04037,0.0,0.0,0.0,-0.0483294351271323,-0.034438235880678854,-0.0022657287087431933,0.0101889087208944,-0.010436606518884567,-0.05561628348496811,-1.0929931121117509e-05
8,S01,L01,M01,1.417135,-6.289555283637945e-06,19.80026152821094,-3.7068505843954063e-05,False,37.336749,0.0,860.0,0.0,0.0,0.0,0.0,37.336749,-0.00202,860.00926,-0.04258,0.0,0.0,0.0,-0.04822958702877277,-0.03440133606334621,-0.0022752243574518443,0.010181291450168588,-0.010436383577477306,-0.0556027587659311,-4.4382188596273076e-06
9,S01,L01,M02,1.872635,-4.089887056014132e-05,44.601969939771095,-3.012200468868869e-05,False,42.003843,0.0,850.0,0.0,0.0,0.0,0.0,42.003843,-0.00034,850.01057,-0.03447,0.0,0.0,0.0,-0.0481297308206513,-0.03436443625804387,-0.0022847195274690087,0.010173674225579242,-0.010436160756337156,-0.04518300703303304,-2.1840278837115257e-05
