# cfgfile = demo_res/IMAG//lambda/IMAG.2008.kaiyo_k4_L-01.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M01,1.490692,4.822501098934884e-06,26.56434443409367,2.235305902679232e-05,False,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.00196,1000.00181,0.01942,0.0,0.0,0.0,0.01830593997250929,0.010922365621629022,0.007229360295240031,-0.008066371949385795,0.015816133054579556,0.033529588540188476,3.235075454174896e-06
1,S01,L01,M02,1.982303,8.907038047476917e-06,47.730655338288244,1.4159154090717716e-05,False,4.667094,0.0,980.0,0.0,0.0,0.0,0.0,4.667094,0.00422,980.00368,0.01931,0.0,0.0,0.0,0.018122167412811724,0.01089677586014263,0.007207528708279797,-0.00806554945832454,0.015812648248502693,0.021238731136076574,4.493277792283479e-06
2,S01,L01,M03,2.359493,5.345324314324877e-06,55.59127269142998,1.134518561627366e-05,False,9.334187,0.0,960.0,0.0,0.0,0.0,0.0,9.334187,0.00376,960.01016,0.01995,0.0,0.0,0.0,0.017938330205695525,0.010871186008564002,0.007185693957243816,-0.008064726329656685,0.015809164114325473,0.01701777842441049,2.2654546185663094e-06
3,S01,L01,M04,1.956163,5.1920753334401946e-06,47.03102035705109,1.911843775241703e-05,False,14.001281,0.0,950.0,0.0,0.0,0.0,0.0,14.001281,0.00494,950.00593,0.01719,0.0,0.0,0.0,0.017754434887417875,0.01084559606382127,0.007163856330929622,-0.008063902655797137,0.015805680580620943,0.028677656628625547,2.654214057540294e-06
4,S01,L01,M01,1.451357,6.032904447262527e-06,23.267260733271,2.1466026475456394e-05,False,18.668374,0.0,930.0,0.0,0.0,0.0,0.0,18.668374,0.00307,930.00959,0.01238,0.0,0.0,0.0,0.017570488151819382,0.010820006044774783,0.007142016136849692,-0.008063078529866494,0.015802197578948084,0.03219903971318459,4.1567336274001e-06
5,S01,L01,M02,1.922061,3.8046551290151817e-06,46.076601216910376,1.3279896807360111e-05,False,23.335468,0.0,910.0,0.0,0.0,0.0,0.0,23.335468,0.00772,910.00829,0.0166,0.0,0.0,0.0,0.0173864965351103,0.010794415948352594,0.00712017366379923,-0.008062254044279238,0.015798715037880436,0.019919845211040167,1.9794663795869027e-06
6,S01,L01,M03,2.293929,4.1197527794126106e-08,54.46201703185062,1.0518825468936308e-05,False,28.002562,0.0,900.0,0.0,0.0,0.0,0.0,28.002562,0.00961,900.00293,0.0181,0.0,0.0,0.0,0.017202466691737497,0.010768825787932005,0.007098329214612075,-0.008061429291979576,0.015795232888230468,0.015778238203404463,1.7959373543874335e-08
7,S01,L01,M04,1.897052,-1.1265753902133299e-05,45.34490094727366,1.8240501222822332e-05,False,32.669655,0.0,880.0,0.0,0.0,0.0,0.0,32.669655,0.00738,880.00521,0.02362,0.0,0.0,0.0,0.017018405276180586,0.010743235576890347,0.007076483092123755,-0.008060604365911933,0.015791751060810308,0.027360751834233497,-5.9385583010551635e-06
8,S01,L01,M01,1.417075,-8.337761157624453e-06,19.798361187062852,2.0586643434399984e-05,False,37.336749,0.0,860.0,0.0,0.0,0.0,0.0,37.336749,0.00876,860.00818,0.01712,0.0,0.0,0.0,0.016834318824600715,0.01071764531215562,0.007054635585126939,-0.008059779358490464,0.015788269484194015,0.030879965151599978,-5.883782550411554e-06
9,S01,L01,M02,1.872584,-4.7913383818354e-06,44.6001790043135,1.2455228800423698e-05,False,42.003843,0.0,850.0,0.0,0.0,0.0,0.0,42.003843,0.00812,850.00718,0.0216,0.0,0.0,0.0,0.016650213991471433,0.010692055007105142,0.0070327869964568294,-0.008058954362659566,0.015784788089193785,0.018682843200635547,-2.5586774114461086e-06
10,S01,L01,M03,2.218641,-7.055566571056586e-06,53.06088692672961,9.652357747978658e-06,False,46.670936,0.0,830.0,0.0,0.0,0.0,0.0,46.670936,0.00964,830.00318,0.02081,0.0,0.0,0.0,0.016466097431282065,0.010666464675116293,0.007010937628949554,-0.008058129471363633,0.015781306806621643,0.014478536621967986,-3.180129895308248e-06
11,S01,L01,M04,1.840804,9.638868868585608e-06,43.587930364012095,1.7370432822096317e-05,False,51.33803,0.0,810.0,0.0,0.0,0.0,0.0,51.33803,0.01027,810.00058,0.0095,0.0,0.0,0.0,0.016281975680170088,0.010640874313117,0.00698908777139639,-0.008057304777016825,0.01577782556505189,0.026055649233144476,5.23622768561216e-06
12,S01,L01,M01,1.392018,-2.5769780063311315e-06,16.69856358349554,1.976164273142121e-05,False,56.005123,0.0,800.0,0.0,0.0,0.0,0.0,56.005123,0.01404,800.00012,0.01316,0.0,0.0,0.0,0.016097855432073118,0.010615283939967775,0.006967237731315051,-0.00805648037274017,0.015774344296042492,0.029642464097131813,-1.8512533647777052e-06
13,S01,L01,M02,1.81761,-5.325457821467769e-06,42.814483198675646,1.1591124980585283e-05,False,60.672217,0.0,780.0,0.0,0.0,0.0,0.0,60.672217,0.01742,779.99616,0.01769,0.0,0.0,0.0,0.0159137432231271,0.010589693552596547,0.006945387797496529,-0.008055656350948043,0.015770862928167755,0.017386687470877925,-2.929923262673384e-06
14,S01,L01,M03,2.144778,-1.8947867676409645e-06,51.56242675735757,8.793997455250537e-06,False,65.339311,0.0,760.0,0.0,0.0,0.0,0.0,65.339311,0.01472,760.00008,0.01192,0.0,0.0,0.0,0.01572964570782171,0.010564103164380676,0.006923538272777023,-0.00805483280458478,0.015767381392239713,0.013190996182875805,-8.834419075731681e-07
15,S01,L01,M04,1.795025,-1.1708849295571301e-05,42.03073853153228,1.65545467469695e-05,False,70.006404,0.0,750.0,0.0,0.0,0.0,0.0,70.006404,0.00969,750.00055,0.02107,0.0,0.0,0.0,0.015545569540634083,0.010538512788697534,0.006901689459992384,-0.008054009826594316,0.01576389961907054,0.02483182012045425,-6.5229449704440334e-06
16,S01,L01,M01,1.368123,-7.181658390316888e-06,12.952061299833304,1.8897844665169797e-05,False,74.673498,0.0,730.0,0.0,0.0,0.0,0.0,74.673498,0.01138,729.99975,0.01665,0.0,0.0,0.0,0.015361521257719018,0.010512922422475042,0.006879841647934124,-0.008053187509391628,0.015760417537234315,0.028346766997754697,-5.2492783107344065e-06
17,S01,L01,M02,1.765887,1.418437753904498e-05,40.970309533529786,1.0735285335918768e-05,False,79.340592,0.0,710.0,0.0,0.0,0.0,0.0,79.340592,0.006,709.99479,0.00827,0.0,0.0,0.0,0.015177507513558912,0.010487332079090576,0.006857995139438282,-0.008052365945920787,0.015756935077543163,0.016102928003878154,8.032437828153771e-06
18,S01,L01,M03,2.082707,-6.246277978792878e-06,50.19398927616044,7.98955755635863e-06,False,84.007685,0.0,700.0,0.0,0.0,0.0,0.0,84.007685,0.00839,699.99475,0.01865,0.0,0.0,0.0,0.014993534962606546,0.010461741771921485,0.006836150237339773,-0.008051545229125214,0.01575345217080952,0.011984336334537946,-2.999115083779369e-06
