,ABIC,log(Lambda),dE,dN,dU
0,-3942.3440281085705,-2.0,8.01100903003057e-07,-7.510705897752303e-06,1.7601814435043094e-05
1,-3939.5736188652772,-1.0,6.356768725060982e-06,-1.5337978293330574e-05,2.0837654466263746e-05
