# cfgfile = demo_prep/IMAG/IMAG.2006.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M01,1.49072,1.6593047165512752e-05,26.5650880351931,7.591829619404708e-06,False,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.00826,999.99753,-0.01568,0.0,0.0,0.0,0.014848105671513116,-0.051233446196141195,0.0033170991751393687,-0.02859179482293648,-0.013011862982302662,0.011387744429107062,1.1130894578131878e-05
1,S01,L01,M02,1.982327,1.9510498424922806e-05,47.73189062784968,2.3432731735692054e-06,False,4.667094,0.0,980.0,0.0,0.0,0.0,0.0,4.667094,0.0113,979.99426,-0.02423,0.0,0.0,0.0,0.014834812978385114,-0.05116062535739358,0.00330931211625945,-0.028583583930442406,-0.012997129028099134,0.003514909760353808,9.842219989397716e-06
2,S01,L01,M03,2.359513,2.2212337715940767e-05,55.59188234437113,1.6140838214391222e-05,False,9.334187,0.0,960.0,0.0,0.0,0.0,0.0,9.334187,0.01258,959.99595,-0.01798,0.0,0.0,0.0,0.014821489922905055,-0.05108780450190696,0.003301522981792428,-0.028575372622868814,-0.012982394557358825,0.024211257321586833,9.413950131209603e-06
3,S01,L01,M04,1.956196,2.4061578776105956e-05,47.030730041649235,2.130020062598351e-05,False,14.001281,0.0,950.0,0.0,0.0,0.0,0.0,14.001281,0.01017,949.9942,-0.01248,0.0,0.0,0.0,0.014808133876711116,-0.05101498360340624,0.0032937313735821993,-0.028567160973539472,-0.0129676596043505,0.031950300938975267,1.230018810799427e-05
4,S01,L01,M01,1.451387,2.5168852763608558e-05,23.26776779008543,7.4027166051584225e-06,False,18.668374,0.0,930.0,0.0,0.0,0.0,0.0,18.668374,0.01194,929.99527,-0.02276,0.0,0.0,0.0,0.014794742222875091,-0.05094216269802863,0.003285936900149632,-0.028558949062815905,-0.012952924215971528,0.011104074907737634,1.73412416974994e-05
5,S01,L01,M02,1.922086,1.4025065275436286e-05,46.077730964149396,2.1462580877399186e-06,False,23.335468,0.0,910.0,0.0,0.0,0.0,0.0,23.335468,0.00846,909.99501,-0.01722,0.0,0.0,0.0,0.014781312333005758,-0.050869341759498955,0.0032781391633363356,-0.028550736964021568,-0.012938188426490275,0.003219387131609878,7.296793835154247e-06
6,S01,L01,M03,2.293952,1.576383171922612e-05,54.462575704223866,1.5935710987556436e-05,False,28.002562,0.0,900.0,0.0,0.0,0.0,0.0,28.002562,0.009,899.99311,-0.01113,0.0,0.0,0.0,0.014767841587315662,-0.05079652080835134,0.0032703377699938078,-0.028542524755758577,-0.012923452279646974,0.023903566481334654,6.8719100134728706e-06
7,S01,L01,M04,1.897096,2.4843564358846388e-05,45.34464571282558,2.1082383997109367e-05,False,32.669655,0.0,880.0,0.0,0.0,0.0,0.0,32.669655,0.00911,879.99127,-0.01272,0.0,0.0,0.0,0.014754327366052358,-0.05072369986511987,0.0032625323269766773,-0.0285343125166291,-0.012908715819182154,0.03162357599566405,1.3095575742527732e-05
8,S01,L01,M01,1.417122,3.630340468007185e-05,19.798960812874554,7.216191967083455e-06,False,37.336749,0.0,860.0,0.0,0.0,0.0,0.0,37.336749,0.0089,859.99432,-0.0282,0.0,0.0,0.0,0.014740767040772115,-0.05065087890352947,0.003254722436121858,-0.02852610031995654,-0.012893979079363741,0.010824287950625181,2.561769888553833e-05
9,S01,L01,M02,1.872621,2.6297101145936132e-05,44.601493091597575,1.9733009948872423e-06,False,42.003843,0.0,850.0,0.0,0.0,0.0,0.0,42.003843,0.00702,849.99091,-0.02427,0.0,0.0,0.0,0.014727157991712885,-0.050578057944114206,0.0032469077042830683,-0.028517888244343027,-0.012879242103932197,0.0029599514923308633,1.4042938291269902e-05
10,S01,L01,M03,2.218661,1.0019327464312196e-05,53.06138421853865,1.5710907480622322e-05,False,46.670936,0.0,830.0,0.0,0.0,0.0,0.0,46.670936,0.00963,829.98679,-0.00663,0.0,0.0,0.0,0.0147134975991544,-0.05050523700740818,0.003239087738318175,-0.028509676368390673,-0.012864504936628192,0.023566361220933484,4.515934369564434e-06
11,S01,L01,M04,1.840813,-2.392284276830455e-06,43.58715730202164,2.0866977640444582e-05,False,51.33803,0.0,810.0,0.0,0.0,0.0,0.0,51.33803,0.00628,809.98727,0.00567,0.0,0.0,0.0,0.014699783234590272,-0.0504324160671363,0.00323126214005787,-0.028501464765422983,-0.012849767611719343,0.03130046646066687,-1.2995802815551905e-06
12,S01,L01,M01,1.392044,1.9172699990329144e-06,16.698976927252318,7.053540478663579e-06,False,56.005123,0.0,800.0,0.0,0.0,0.0,0.0,56.005123,0.00383,799.98983,-6e-05,0.0,0.0,0.0,0.014686012281245837,-0.05035959515943569,0.00322343051803758,-0.028493253515801436,-0.012835030176104023,0.010580310717995369,1.3773056017143959e-06
