# cfgfile = demo_prep/IMAG/IMAG.2001.kaiyo_k4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M01,1.4937,-0.0009638690165803342,26.560836479388712,-0.002848714463284767,False,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,-3.785581082630433,0.35725886326855555,-0.38915039982459193,-0.42210248518372656,-0.1993425278001441,-4.27307169492715,-0.0006452895605411624
1,S01,L01,M02,1.97129,0.0011765581007505757,47.26751940648717,-0.0029177039767162368,False,9.413291,0.0,960.0,0.0,0.0,0.0,0.0,9.413291,0.0,960.0,0.0,0.0,0.0,0.0,-3.793316224552223,0.35349792305936223,-0.38957227574358366,-0.421115460616288,-0.19699739331452476,-4.376555965074355,0.0005968467859881477
2,S01,L01,M03,2.329572,-0.0028880496745026744,55.024105036396065,-0.0027100893268478653,False,18.826581,0.0,930.0,0.0,0.0,0.0,0.0,18.826581,0.0,930.0,0.0,0.0,0.0,0.0,-3.8010492976826917,0.34973698631368666,-0.38999403948260136,-0.4201284978937482,-0.19465213259408023,-4.065133990271798,-0.0012397340260368317
3,S01,L01,M04,1.920189,0.0017682103306647795,45.81736886988497,-0.002632881774515209,False,28.239872,0.0,900.0,0.0,0.0,0.0,0.0,28.239872,0.0,900.0,0.0,0.0,0.0,0.0,-3.808779453628978,0.34597605223284544,-0.39041558196820336,-0.4191415879453605,-0.19230692599847563,-3.9493226617728134,0.0009208522341627723
4,S01,L01,M01,1.419919,-0.0009145814136466348,19.793048608626123,-0.002830913409830021,False,37.653162,0.0,860.0,0.0,0.0,0.0,0.0,37.653162,0.0,860.0,0.0,0.0,0.0,0.0,-3.8165058407129315,0.3422151216162935,-0.3908367939477894,-0.41815472211975946,-0.18996195488391282,-4.246370114745032,-0.0006441081594419362
5,S01,L01,M02,1.863138,0.0016083421503901051,44.09821425577269,-0.0029042284430471086,False,47.066453,0.0,830.0,0.0,0.0,0.0,0.0,47.066453,0.0,830.0,0.0,0.0,0.0,0.0,-3.8242276105402744,0.3384541936653493,-0.3912575663478007,-0.41716789134621923,-0.1876173996101185,-4.356342664570663,0.0008632437051845354
6,S01,L01,M03,2.189763,-0.002528811561418391,52.41939778912375,-0.0027009736161253293,False,56.479743,0.0,800.0,0.0,0.0,0.0,0.0,56.479743,0.0,800.0,0.0,0.0,0.0,0.0,-3.831943911434642,0.3346932691794665,-0.3916777899158011,-0.4161810869733578,-0.1852734415331563,-4.051460424187994,-0.0011548334506603641
7,S01,L01,M04,1.809097,0.002142047167810892,42.27453404968628,-0.002619256939157542,False,65.893034,0.0,760.0,0.0,0.0,0.0,0.0,65.893034,0.0,760.0,0.0,0.0,0.0,0.0,-3.839653894999608,0.33093234735996446,-0.3920973555780211,-0.41519429993046203,-0.18293026101296797,-3.928885408736313,0.0011840421866881057
8,S01,L01,M01,1.370463,-0.0012731108490263402,12.945355863204298,-0.0028153639102801178,False,75.306324,0.0,730.0,0.0,0.0,0.0,0.0,75.306324,0.0,730.0,0.0,0.0,0.0,0.0,-3.847356709561311,0.32717142900629587,-0.3925161540822811,-0.4142075215661406,-0.1805880394053252,-4.223045865420176,-0.00092896404282811
9,S01,L01,M02,1.765379,0.0019460182123588227,40.70419110408366,-0.0028903984957151883,False,84.719615,0.0,700.0,0.0,0.0,0.0,0.0,84.719615,0.0,700.0,0.0,0.0,0.0,0.0,-3.8550515067204607,0.32341051331978105,-0.3929340763545091,-0.41322074280968596,-0.17824695707053848,-4.335597743572783,0.0011023231908608988
10,S01,L01,M03,2.044961,-0.002158736384054864,49.222850318534256,-0.002688867455994951,False,94.132905,0.0,660.0,0.0,0.0,0.0,0.0,94.132905,0.0,660.0,0.0,0.0,0.0,0.0,-3.8627374348064243,0.3196496010998717,-0.39335101314287435,-0.41223395500970506,-0.17590719536393382,-4.033301183992426,-0.0010556369456702908
11,S01,L01,M04,1.717664,0.0023654541769829876,38.78893152970963,-0.0026078616878561604,False,103.546196,0.0,630.0,0.0,0.0,0.0,0.0,103.546196,0.0,630.0,0.0,0.0,0.0,0.0,-3.8704136454163223,0.3158886915478896,-0.3937668553729096,-0.4112471490954884,-0.17356893464634449,-3.911792531784241,0.0013771343970549466
12,S01,L01,M01,1.341278,-0.0022184835916466633,5.701679417813608,-0.002799438243045087,False,112.959486,0.0,600.0,0.0,0.0,0.0,0.0,112.959486,0.0,600.0,0.0,0.0,0.0,0.0,-3.8780792868834717,0.31212778546328473,-0.39418149379322603,-0.41026031641564864,-0.17123235627249678,-4.199157364567631,-0.0016540072912898472
13,S01,L01,M02,1.673773,0.0021436706494447223,36.8979544671501,-0.0028735466635090175,False,122.372777,0.0,560.0,0.0,0.0,0.0,0.0,122.372777,0.0,560.0,0.0,0.0,0.0,0.0,-3.885733510800683,0.3083668820473804,-0.3945948193288678,-0.40927344789946685,-0.1688976406039005,-4.3103199952635265,0.0012807415637871578
14,S01,L01,M03,1.917017,-0.0018333413487879255,45.83150070615733,-0.0026789645740654404,False,131.786067,0.0,530.0,0.0,0.0,0.0,0.0,131.786067,0.0,530.0,0.0,0.0,0.0,0.0,-3.8933754655059434,0.30460598209962514,-0.3950067227289808,-0.4082865348955689,-0.1665649689945287,-4.018446861098161,-0.0009563511167547945
15,S01,L01,M04,1.639424,0.0024062622289175335,35.24198083855194,-0.0025960580233236525,False,141.199358,0.0,500.0,0.0,0.0,0.0,0.0,141.199358,0.0,500.0,0.0,0.0,0.0,0.0,-3.9010043025870287,0.3008450848213437,-0.3954170949180283,-0.4072995683332187,-0.16423452180672093,-3.894087034985479,0.0014677485683493308
16,S01,L01,M01,1.335009,-0.002892875769934413,2.3010428536694008,-0.0027804666056535686,False,150.612648,0.0,460.0,0.0,0.0,0.0,0.0,150.612648,0.0,460.0,0.0,0.0,0.0,0.0,-3.9086191703873228,0.29708419101198336,-0.39582582664578364,-0.40631253956106295,-0.16190648039354374,-4.170699908480353,-0.0021669335337322917
17,S01,L01,M02,1.603429,0.002085429927836883,33.40557152631183,-0.0028588888736377524,False,160.025939,0.0,430.0,0.0,0.0,0.0,0.0,160.025939,0.0,430.0,0.0,0.0,0.0,0.0,-3.916219220488848,0.29332329987287004,-0.3962328088360363,-0.4053254395083411,-0.1595810251183204,-4.288333310456629,0.0013006063429293613
18,S01,L01,M03,1.796731,-0.0015185885155546911,41.97021182929393,-0.002668616339108376,False,169.439229,0.0,400.0,0.0,0.0,0.0,0.0,169.439229,0.0,400.0,0.0,0.0,0.0,0.0,-3.9238036012411004,0.28956241220344964,-0.39663793223927946,-0.40433825952372815,-0.15725833733305658,-4.002924508662564,-0.0008451952549127784
