,dV0,absolute_E,absolute_N,angle_E,angle_N
dV0,1.0,-0.6080042445728184,0.477930268536719,0.7485646339874648,0.1790092554271376
absolute_E,-0.6080042445728184,1.0,-0.4620389347808667,-0.952458630579759,-0.8156323157871205
absolute_N,0.477930268536719,-0.4620389347808667,1.0,0.6575594697829372,-0.05392837575350794
angle_E,0.7485646339874648,-0.952458630579759,0.6575594697829372,1.0,0.627553352677212
angle_N,0.1790092554271376,-0.8156323157871205,-0.05392837575350794,0.627553352677212,1.0
